#calName, ra, dec, zCal
J0542-0913, 85.7328229208, -9.22527947222, -999
J0547+1223, 86.7761513501, 12.3961791056, -999
J0547+2721, 86.8922871999, 27.3657896, -999
J0549-5246, 87.4325228333, -52.7738784444, 0.447
J0550+2326, 87.6974620833, 23.4467158056, -999
J0550-5732, 87.5399174666, -57.5401101139, 2.001
J0552+0313, 88.2087560917, 3.22423461944, -999
J0552+3754, 88.0747371667, 37.9070229, 0.815
J0552-4522, 88.0418344917, -45.37352115, -999
J0555+3948, 88.8783567375, 39.8136569389, 2.0
J0559-1817, 89.9433480541, -18.2965473778, -999
J0559-4529, 89.7981015458, -45.4945297861, 0.687
J0600-3937, 90.130906, -39.617277, 1.661
J0601-7036, 90.29686625, -70.6024425, 2.409
J0603+1742, 90.7880427917, 17.7046696111, 1.738
J0603+2159, 90.9648209001, 21.9938052, -999
J0604-4225, 91.1048943416, -42.42502605, 0.611
J0607-0834, 91.9987467917, -8.58054947222, 0.872
J0607-6031, 91.9795277583, -60.5311088722, 1.1
J0608-2220, 92.2486951667, -22.3391546111, 1.926
J0608-5456, 92.204414425, -54.9452453, 2.2
J0609-1542, 92.4206230833, -15.7112979611, 0.323
J0613+1708, 93.4015003, 17.1402626, -999
J0613+2604, 93.4589131917, 26.0768666472, 0.58
J0614-2536, 93.5717118126, -25.61486785, 2.15
J0625+1440, 96.441342325, 14.6721529056, -999
J0629-1959, 97.3490077792, -19.9888120889, 1.724
J0631+2020, 97.7544273, 20.3497807, -999
J0634-2335, 98.745837, -23.586655, -999
J0635-7516, 98.9437833333, -75.2713375, 0.527
J0641-0320, 100.463053925, -3.34682857778, -999
J0642+3509, 100.7422483, 35.1551051, 0.269
J0643+0857, 100.860187571, 8.96055893056, 0.882
J0644+3914, 101.22379, 39.2465372, 1.266
J0648-1744, 102.118744067, -17.73484465, 1.232
J0648-3044, 102.058735254, -30.7387943583, 0.804
J0653-0625, 103.252489804, -6.42575006667, -999
J0654-1053, 103.544330654, -10.8936025083, -999
J0656-0323, 104.046335763, -3.38521740278, 0.634
J0658-5840, 104.557411792, -58.6743242222, 0.421
J0700+1709, 105.006356417, 17.1560281389, 0.7
J0700-6610, 105.130224217, -66.1792305389, 0.483
J0701-4634, 105.393944017, -46.5768404917, 0.822
J0702-1015, 105.648986775, -10.2517824639, -999
J0702-1951, 105.678752779, -19.8561209556, -999
J0703-0051, 105.829527567, -0.850877258333, -999
J0710-3850, 107.681818004, -38.8436219444, -999
J0718-4319, 109.68178, -43.33048, -999
J0724-0715, 111.072052638, -7.25565379722, 0.28
J0725-0054, 111.460999817, -0.915706733333, 0.127
J0725-2640, 111.351721458, -26.6757443139, -999
J0729-3639, 112.272549, -36.662564, -999
J0730-1141, 112.579635304, -11.6868334833, 1.591
J0741+3112, 115.294597, 31.200064, 0.631
J0743-3803, 115.93675215, -38.0656673445, -999
J0743-5619, 115.835350612, -56.3258226806, 2.319
J0745+1011, 116.387748008, 10.186858975, 2.624
J0746+2734, 116.668467962, 27.5830686556, 2.163
J0746-1555, 116.575983, -15.926319, -999
J0747-3310, 116.832013575, -33.1797144333, -999
J0748+2400, 117.150455325, 24.0066972306, 0.409
J0750+1231, 117.716857208, 12.5180078611, 0.889
J0757+0956, 119.277678967, 9.94301452222, 0.266
J0808+0514, 122.1618658, 5.2444281, 0.361
J0808-0751, 122.0647335, -7.85274619444, 1.837
J0811-4929, 122.786680475, -49.4954190445, -999
J0815+3635, 123.8581036, 36.5875414, 1.028
J0816-2421, 124.168384938, -24.3518252944, -999
J0823+2223, 125.85316, 22.38425, 0.951
J0824+3916, 126.2311827, 39.2783067, 1.216
J0825+0309, 126.459743125, 3.15681113889, 0.506
J0825+2704, 126.4474725, 27.0727842, 0.692981
J0826-2230, 126.506553863, -22.5075563444, 0.91
J0828-3731, 127.019917608, -37.5184115056, -999
J0830+2410, 127.717025804, 24.1832834278, 0.94
J0831+0429, 127.953653992, 4.494190525, 0.174
J0836+2728, 129.0953694, 27.4812593, 0.762
J0836-2016, 129.163397, -20.283196, 3.0
J0837+2454, 129.4176904, 24.9064227, 1.125
J0839+0104, 129.9567125, 1.0740935, 1.123
J0840+1312, 130.198285117, 13.2065454889, 0.681
J0842+1835, 130.5212257, 18.5947196, 1.272
