obj B3 B4 B5 B6 B7 B8 B9 B10
J0613+2604 0 0 0 0 0 0 0 0
J1041-6431 0 0 0 0 0 0 0 0
J1305-2850 0 0 0 0 0 0 0 0
J0438+2153 0 0 0 0 0 0 0 0
J1220+0203 0 0 90.7 0 0 0 0 0
J0319+4130 0 0 0 0 0 0 0 0
J1351-2912 0 0 0 0 0 0 0 0
J2343-5626 0 0 0 0 0 0 0 0
J1127-1857 0 0 0 0 0 0 0 0
J0125-0005 0 0 0 0 0 0 0 0
J1028-0236 0 0 0 0 385.0 544.1999999999999 0 0
J0106-2718 0 0 0 0 0 0 0 0
J2031+1219 0 0 0 0 0 0 0 0
J2254+0054 0 0 0 0 0 0 0 0
J2056-5820 0 0 0 0 0 0 0 0
J1038-2151 0 0 0 0 0 0 0 0
J1420-0642 0 0 0 0 0 0 0 0
J0521+1638 0 0 0 0 0 0 0 0
J1521+0420 0 0 0 0 0 0 0 0
J0631+2020 0 0 0 0 0 0 0 0
J1534+0131 0 0 0 0 0 0 0 0
J0743-5619 0 0 0 0 0 0 0 0
J0539-2839 0 0 0 0 0 0 0 0
J1159-0940 0 0 0 0 0 0 0 0
J0532-0307 0 0 0 0 0 0 0 0
J1333+2725 0 0 0 0 0 0 0 0
J0403+2600 0 0 0 0 0 0 0 0
J1243+1622 0 0 0 0 0 0 0 0
J1454-3747 0 0 0 0 0 0 0 0
J1819-6345 0 0 0 0 0 0 0 0
J0231-4746 0 120.9 0 0 0 0 0 0
J1043+2408 0 0 0 0 0 0 0 0
J1952+2526 0 0 0 0 0 0 0 0
J0026-3512 0 0 0 0 0 0 0 0
J0407+0742 0 0 0 0 0 0 0 0
J1516+0015 0 0 0 0 0 0 0 0
J1410+0203 0 0 0 364.8 0 0 0 0
J0213-0719 0 0 0 0 0 0 0 0
J0449-0057 0 0 0 0 0 0 0 0
J1733-3722 0 0 0 0 811.1 0 0 0
J0057-0024 0 0 0 0 0 0 0 0
J0700-6610 0 0 0 0 0 0 0 0
J1938+0448 0 0 0 0 0 0 0 0
J0340-2119 0 0 0 0 0 0 0 0
J0201-1132 0 0 0 0 0 0 0 0
J1159+2914 0 0 0 0 0 0 0 0
J1406-0707 0 0 0 0 0 0 0 0
J2203-6130 0 0 0 0 0 0 0 0
J0919-5340 0 0 0 0 0 0 0 0
J1217+3007 0 0 0 0 0 0 0 0
J1653+3107 0 0 0 0 0 0 0 0
J1404-0013 0 0 0 0 0 0 0 0
J1104-2431 0 0 0 0 0 0 0 0
J1434+1952 0 0 0 0 0 0 0 0
J0604-4225 0 0 0 0 0 0 0 0
