obj B3 B4 B5 B6 B7 B8 B9 B10
J0245-4459 0 0 0 0 123.10000000000001 0 0 0
J0847-0703 362.79999999999995 0 0 0 0 0 0 0
J0909-1248 181.2 0 0 0 0 0 0 0
J1032-5917 616.5 126.79999999999998 0 2201.0 1249.6 0 0 0
J1347+1217 3973.6000000000004 605.1 1133.8999999999999 3304.999999999999 3324.600000000001 812.8000000000001 0 0
J2217+2421 0 0 0 0 215.6 0 0 0
J0401+0413 211.6 0 0 0 0 0 0 0
J0613+2604 0 0 0 322.2 1022.4000000000001 0 0 0
J1041-6431 0 0 0 0 636.8 0 0 0
J1305-2850 121.0 0 0 622.9 0 0 0 0
J0438+2153 181.29999999999998 0 0 0 0 0 0 0
J1220+0203 3295.4999999999995 242.0 151.3 3751.3999999999996 302.5 0 0 0
J0319+4130 0 0 309.5 1104.1999999999998 0 0 0 0
J1351-2912 3791.4999999999995 463.4 0 17448.899999999998 3991.7000000000025 0 0 0
J2343-5626 0 423.29999999999995 0 0 0 0 0 0
J1127-1857 5893.5 1330.1999999999998 0 1185.5 2677.7 0 0 0
J0125-0005 4488.400000000003 181.50000000000003 0 665.4 3480.7000000000003 0 0 0
J1028-0236 302.6 0 0 1291.0000000000002 5575.6 1975.5 0 0
J0106-2718 4666.300000000001 0 0 1102.2 381.0 181.4 0 0
J2031+1219 0 0 0 211.79999999999998 0 0 0 0
J2254+0054 0 0 0 151.2 246.10000000000002 0 0 0
J2056-5820 1512.2999999999997 0 0 936.8 241.79999999999998 0 0 0
J1038-2151 76.7 0 0 137.10000000000002 0 0 0 0
J1420-0642 439.5 0 0 137.0 0 0 0 0
J0521+1638 1881.9000000000003 0 0 0 1313.1 0 0 0
J1521+0420 423.19999999999993 0 0 90.7 0 0 0 0
J0631+2020 272.29999999999995 0 0 1057.7999999999997 292.6 0 0 0
J1534+0131 472.20000000000005 167.5 0 0 0 0 0 0
J0743-5619 544.4 0 0 0 0 0 0 0
J0539-2839 0 0 0 151.0 0 0 0 0
J1159-0940 0 0 0 1332.6 0 0 0 0
J0532-0307 3264.9 288.09999999999997 0 3123.2000000000003 699.6 0 0 0
J1333+2725 696.0 488.2 0 1088.4 0 0 0 0
J0403+2600 2013.6 3863.700000000003 0 580.4 2739.7000000000016 0 0 0
J1243+1622 2012.6 0 0 912.9999999999999 709.5999999999999 0 0 0
J1454-3747 60.5 453.5 0 967.4999999999999 0 895.2 0 0
J1819-6345 0 0 0 423.5 0 0 0 0
J0231-4746 968.0 272.1 0 318.7 0 0 0 0
J1043+2408 302.29999999999995 0 0 0 0 0 0 0
J1952+2526 3029.7000000000016 1088.6 695.5999999999999 1104.8000000000002 0 0 0 0
J0026-3512 1710.6 272.0 0 0 0 0 0 0
J0407+0742 0 0 0 701.3 4451.100000000002 0 0 0
J1516+0015 423.3 0 0 181.3 647.0999999999999 0 0 0
J1410+0203 4014.1 1119.0 1673.7999999999997 9445.500000000004 3279.2 2092.3 0 0
J0213-0719 1391.1 181.3 0 0 0 0 0 0
J0449-0057 181.39999999999998 0 0 0 0 0 0 0
J1733-3722 3902.8 2522.300000000001 232.20000000000002 11132.300000000003 6598.799999999998 6196.3 1120.6 0
J0057-0024 120.9 0 0 0 0 0 0 0
J0700-6610 2135.6 0 0 2811.5999999999995 0 0 0 0
J1938+0448 2117.9 0 181.4 8840.800000000005 8278.000000000004 0 0 0
J0340-2119 3188.6000000000017 0 181.70000000000002 3145.6000000000004 4540.700000000003 0 0 0
J0201-1132 121.0 0 0 0 0 0 0 0
J1159+2914 473.3999999999999 0 0 2950.3999999999996 816.5 0 0 0
J1406-0707 362.6 0 0 0 0 0 0 0
J2203-6130 363.0 0 0 0 0 0 0 0
J0919-5340 0 0 0 161.2 0 0 0 0
J1217+3007 755.6 0 0 0 0 0 0 0
J1653+3107 0 0 279.2 0 0 894.9 0 0
J1404-0013 0 0 0 0 167.7 0 0 0
J1104-2431 76.6 0 0 2151.000000000001 215.8 0 0 0
J1434+1952 0 120.9 0 0 0 0 0 0
J0604-4225 278.40000000000003 0 0 122.90000000000002 0 0 0 0
J0202-0559 453.40000000000003 0 0 90.6 0 0 0 0
J1514-4748 695.4999999999999 0 0 0 0 0 0 0
J0433+0521 272.0 0 0 516.0 123.10000000000001 366.9 0 0
J2336-5236 1058.5 574.7 0 274.20000000000005 76.7 0 0 0
J0122+2954 362.9 0 0 0 0 0 0 0
J0011-2612 338.5 0 0 1921.3999999999996 0 0 0 0
J0824+3916 0 0 0 394.79999999999995 0 0 0 0
J0336-1302 0 423.5 0 1723.9 0 0 0 0
J0130+0842 0 0 0 453.5 0 0 0 0
J0406-3826 0 0 0 423.3 260.1 0 0 0
J0149+1857 405.1 0 0 1681.400000000001 0 0 0 0
J0301+0118 4115.0 0 0 167.3 0 0 0 0
J1613+3412 0 0 272.1 0 0 0 0 0
J1146-2859 1118.8000000000002 0 0 743.7 475.80000000000007 415.70000000000005 0 0
J1308-6707 423.6 151.3 0 2535.7999999999997 0 0 0 0
J0418+3801 241.9 0 0 612.8999999999999 308.59999999999997 0 0 0
J2349-4932 0 0 0 123.00000000000001 151.2 0 0 0
J0825-3218 725.8 0 0 0 0 0 0 0
J0715-6829 695.5 0 0 0 0 0 0 0
J1342-2900 9815.4 1270.5 0 5434.7000000000035 3001.3999999999996 0 0 0
J0056-4451 151.1 151.0 0 0 0 0 0 0
J0519+2744 455.3999999999999 0 0 451.30000000000007 0 0 0 0
J1222+0413 1554.6 772.5 0 2889.9 985.1999999999999 846.5 0 0
J0956+2515 483.5999999999999 0 0 864.2 564.8 0 0 0
J1430+1043 3652.7999999999997 60.6 0 0 0 0 0 0
J1827-0405 423.6 0 0 423.40000000000003 0 0 0 0
J0635-7516 36693.0 2516.0 910.3 45607.50000000003 13125.1 0 0 0
J1706-4600 3035.5000000000005 0 0 3260.2000000000007 362.79999999999995 0 0 0
J2308+2008 1904.5 0 0 0 1941.3000000000018 0 0 0
J1206+0529 396.79999999999995 0 0 0 0 0 0 0
J1658+0741 169.2 0 0 0 0 213.8 0 0
J0612-3138 169.29999999999998 0 0 0 0 0 0 0
J0907-0042 1994.1999999999998 0 0 0 0 0 0 0
J1155-5730 0 0 0 241.69999999999996 0 0 0 0
J1945-0153 0 0 0 423.4 0 0 0 0
J2324-3714 181.29999999999998 0 0 0 0 0 0 0
J1305-1033 322.79999999999995 0 0 362.8 702.6 0 0 0
J1008+0029 17866.600000000002 6272.300000000004 0 0 0 0 0 0
J0730-1141 695.9000000000001 0 0 6841.700000000003 3155.5 0 0 0
J2000-1325 936.9999999999999 0 0 211.7 280.29999999999995 0 0 0
J1001+2911 271.9 0 0 0 0 0 0 0
J0349-4858 0 0 0 362.79999999999995 0 0 0 0
J1330+2509 60.5 0 0 302.5 0 0 0 0
J1551-1755 0 121.0 353.09999999999997 4826.200000000003 302.4 0 0 0
J0946+1017 272.0 0 0 1016.000000000001 0 0 0 0
J0815+3635 393.20000000000005 0 0 332.5 0 0 0 0
J0154+0823 0 0 0 151.1 0 0 0 0
J0214-6149 0 0 0 0 0 290.2 0 0
J1148+1840 2019.9 0 1848.6000000000004 1953.4000000000008 4799.0 0 0 0
J1829+3957 0 0 0 780.6000000000006 0 0 0 0
J1925+2106 362.79999999999995 0 0 786.4000000000001 0 0 0 0
J1753+2848 0 122.89999999999999 0 0 94.19999999999999 0 0 0
J1708+0035 0 0 0 241.8 0 0 0 0
J1321-2636 0 0 0 907.0999999999999 0 0 0 0
J0440+2728 623.0 967.7000000000007 0 1972.3000000000004 0 0 0 0
J0012-3954 786.3 0 0 0 0 0 0 0
J1752-2956 2297.8 0 0 3877.8000000000015 0 0 0 0
